proc_text,page,plan,year,doc_id
인공 지능 과학 발견 방식 근본 산업 구조 인간 사고 소통 학습 영역 정의 거대 기술 혁명 세계 질서 재편 경제 안보 규칙 반도체 이동 통신 자동차 산업 인공 지능 도약 발판 국민 혜택 인공 지능 사회 능동 자주 대응 변화 대한민국 인공 지능 행동 비전 실현 단순 기술 정책 인공 지능 국가 성장 엔진 산업 혁신 국민 인류 번영 기여 행동 가지 정책 전략 분야 구성 인공 지능 혁신 생태 조성 인공 지능 경쟁 승패 일차 인프라 보유 규모 좌우 대한민국 데이터 컴퓨팅 반도체 전력 인공 지능 개발 기초 국가 인프라 고속도로 바탕 인공 지능 생태 전반 혁신 거대 인공 지능 핵심 기술 선점 세계 최고 인공 지능 인재 양성 글로벌 인공 지능 기술 개발 인공 지능 연구자 기업 규제 혁신 도전 제도 행정 전반 구조 재편 가지 전략 분야 구성 고속도로 차세대 인공 지능 기술 선점 인공 지능 핵심 인재 독자 범용 인공 지능 모델 인공 지능 규제 혁신 가지 분야 인공 지능 강국 토대 세대 국가 경쟁력 출발,2,2,2026,0
국가 인공 지능 전환 인공 지능 특정 산업 도구 국가 전체 시스템 원천 대한민국 인공 지능 산업 공공 지역 국방 문화 국가 영역 혁신 인공 지능 제조 에너지 금융 바이오 의료 주력 산업 효율 극대 행정 복지 교육 공공 서비스 품질 획기적 지역 거점 인공 지능 허브 수도 지방 격차 인공 지능 지능 방위 안보 체계 첨단 국방 강국 도약 세계 장점 문화 콘텐츠 산업 인공 지능 결합 창의 기술 융합 문화 르네상스 가지 전략 분야 구성 산업 인공 지능 전환 공공 인공 지능 전환 지역 인공 지능 전환 인공 지능 문화 강국 인공 지능 국방 강국 도약 가지 전략 분야 인공 지능 국가 체계 전면 혁신 대한민국 인공 지능 전환 프로젝트 마지막 글로벌 인공 지능 사회 기여 인공 지능 시대 경쟁 기술 경쟁 가치 신뢰 경쟁 진화 대한민국 민주주의 인권 포용 가치 바탕 인공 지능 사회 실현 국제 사회 신뢰 인공 지능 거버넌스 모델 제시 인공 지능 국민 보편 혜택 작동 사회 약자 지역 세대 격차 포용 인공 지능 복지 시스템 한편 글로벌 인공 지능 협력 허브 인공 지능 기술 데이터 인재 협력 국제 규범 논의 연구 개발 세계 인공 지능 사회 실현 기여 국가 자리매김 가지 전략 분야 구성 인공 지능 사회 실현 글로벌 인공 지능 이니셔티브 인공 지능 국민 향상 인류 번영 기여 대한민국 가치 약속,3,2,2026,1
대한민국 인공 지능 행동 정부 단기 중장기 실행 정책 정책 권고 제시 정부 인공 지능 전략 비전 달성 인공 지능 강국 도약 대한민국 달성 행동 목적지 이정표 국가인공지능전략위원회 임문영 상근 부위원장 하정우 대통령실 미래 기획 수석 간사 위원 신진우 기술 혁신 인프라 분과 위원장 석차옥 과학 인재 분과 위원장 조준희 산업 생태 분과 위원장 공공 분과 위원장 데이터 분과 위원장 유재연 사회 분과 위원장 심승배 국방 안보 분과 위원장 오혜연 글로벌 협력 분과 위원장 이원 보안 리더 송혜자 지역 리더 김현철 교육 리더 서준범 의료 리더 김영옥 최재식 제조 리더 정재웅 정부 인프라 거버넌스 혁신 리더,4,2,2026,2
정책 혁신 생태 조성 고속 도로 차세대 기술 선점 핵심 인재 모델 규제 혁신 정책 국가 전환 산업 공공 지역 문화 강국 국방 강국 정책 글로벌 사회 기여 사회 글로벌 이니셔티브 주석,5,2,2026,3
정책 혁신 생태 조성 전략 분야 고속도로 비전 미션 세계 최고 기술 인재 안전 인프라 확충 신뢰 환경 품질 데이터 통합 전략 혁신 생태 조성 국가 데이터 거버넌스 정립 보건 의료 과학 기술 전반 혁신 인프라 조성 선제 사이버 보안 체계 보안 패러다임 근본 개편 컴퓨팅 데이터 보안 완비 인프라 행동 구성 핵심 컴퓨팅 인프라 확충 데이터 센터 생태 서비스 고도 접근 제고 국가 데이터 통합 플랫폼 민간 공공 데이터 소재 품질 고도 데이터 공유 생태 보건 의료 고도 전환 학습 데이터 확충 국가 과학 통합 인프라 연구 개발 혁신 생태 국가 데이터 거버넌스 정립 민간 공공 보안 생태 정보 보호 산업 자생력 사이버 보안 체계 보안 기술 경쟁력 보안 인재 양성 시대 넥스트 안보 위협 대응 협력,6,2,2026,4
핵심 컴퓨팅 인프라 확충 배경 국가 컴퓨팅 인프라 경쟁력 근간 정부 최소 단계 글로벌 달성 물량 성능 가용 부족 실정 국가 컴퓨팅 인프라 내재 국산 규모 상황 종합 국내 조사 필수 국산 반도체 기술 경쟁력 청사진 분산 반도체 정책 총괄 조정 정책 권고 최소 규모 첨단 정부 주도 분기 확충 정부 글로벌 프론티어 규모 모델 학습 서비스 분기 국내 자원 조사 분기 시행 보유 정부 배분 분기 협의 국산 반도체 기술 경쟁력 국산 반도체 방안 분기 해당 물량 분기 단계 국산 반도체 객관 검증 평가 체계 인재 양성 차세대 반도체 연구 거점 조성 정책 협력 협의 반도체 총괄 협의체 분기 구성 국가 일관 반도체 생태 고도,7,2,2026,5
데이터 센터 생태 배경 데이터 센터 신규 전력 부지 불확실 공사 기간 인허가 주민 수용 이슈 해결 전력 다량 전력 공급 지역 대형 데이터 센터 전력 상대 지역 분산 소형 데이터 센터 소형 데이터 센터 지역 중소기업 의료 기관 신속 서비스 국산 반도체 생태 기회 전력 수급 입지 제약 고려 종합 데이터 센터 방안 방안 소형 데이터 센터 분산 전략 재생 에너지 데이터 센터 유도 방안 고려 정책 권고 기후 문체부 해수부 협력 급변 기술 변화 부응 민간 데이터 센터 생태 데이터 센터 종합 분기까 재정 경제부 협력 데이터 센터 민간 투자 세제 혜택 방안 분기 완료 협조 공공 산업 분야 소형 데이터 센터 방안 분기 기후부 전력 계통 안정 우선 전력 계통 영향 평가 제도 지역 차등 수도 데이터 센터 입지 유인 데이터 센터 전력 전력 수급 합리 반영 기후 과기정통부 협력 해외 기업 수도 데이터 센터 투자 유치 전력 에너지 인센티브 방안 재생 에너지 발전소 데이터 센터 유도 방안 분기,8,2,2026,6
서비스 고도 접근 제고 배경 시대 단말 기지국 엣지 백본망 데이터 센터 용량 하향 트래픽 초실감 서비스 동시 처리 위성 통신망 대응 네트워크 고도 지연 국내 서비스 품질 저하 글로벌 서비스 유치 경쟁력 약화 우려 제조 중소기업 자체 컴퓨팅 인프라 클라우드 경험 부족 초기 비용 위험 감당 국가 주도 데이터 센터 소형 데이터 센터 지역 기업 스타트업 연구자 접근 개방 보장 정책 권고 피지컬 에이전틱 서비스 뒷받침 상용 위성 통신망 연동 지연 대역 서비스 대응 지능 용량 확충 트래픽 예측 운용 방안 시대 대응 네트워크 고도 분기 시대 트래픽 폭증 초실감 서비스 국내외 대응 백본망 데이터 센터 네트워크 고도 해저 케이블 인프라 확충 국가 주도 데이터 센터 지역 데이터 센터 자원 개방 접근 클라우드 서비스 프로그램 실시 중기부 제조 중소기업 바우처 시행 지역 필수 의료 확충 보건소 가칭 병원 바우처 시스템 시행,9,2,2026,7
국가 데이터 통합 플랫폼 민간 공공 데이터 소재 품질 고도 배경 핵심 요소 데이터 국가 자산 인식 효과 민간 공공 상위 플랫폼 내외 데이터 플랫폼 윈도우 플랫폼 표준 미흡 최신 결여 플랫폼 부재 문제 고도 산업 데이터 수집 관리 플랫폼 부재 윈도우 의무 예산 책정 실행 데이터 품질 점검 시대 양질 데이터 정책 권고 개발 필수 민간 공공 데이터 소재 정보 표준 국가 데이터 통합 플랫폼 분기 분기 국가 데이터 통합 플랫폼 하위 데이터 플랫폼 지정 해당 표준 의무 법령 분기 이내 발의 법제 관계 정부 학습 데이터 산출 데이터 독점 범위 등록 해당 데이터 소재 정보 국가 데이터 통합 플랫폼 등록 의무 법률 개정안 분기 발의 법제 기획 예산처 제도 동작 예산안 편성 지침 세부 지침 협의 분기 개정 년도,10,2,2026,8
국가 데이터 통합 플랫폼 표준 최종 연결 공공 데이터 학습 서비스 개발 상향 데이터 품질 평가 분기 품질 데이터 현행 절차 민간 데이터 플랫폼 국가 데이터 통합 플랫폼 민간 데이터 플랫폼 데이터 학습 서비스 개발 최적 인센티브 정책 분기,11,2,2026,9
